layer,bits,per_channel,drift,inv_perm,inv_rot
ALL,8,False,0.008015,2.52e-07,1.87e-07
ALL,8,True,0.004955,2.32e-07,2.39e-07
ALL,4,False,0.160202,2.26e-07,1.89e-07
ALL,4,True,0.099334,2.85e-07,2.00e-07
pe.phi.0.weight,4,False,0.013229,,
pe.phi.2.weight,4,False,0.013462,,
pe.phi.4.weight,4,False,0.003567,,
pe.rho.0.weight,4,False,0.017954,,
pe.rho.2.weight,4,False,0.01447,,
pe.rho.4.weight,4,False,0.010786,,
in_proj.weight,4,False,0.119281,,
layers.0.glob.phi.0.weight,4,False,0.010727,,
layers.0.glob.phi.2.weight,4,False,0.025597,,
layers.0.glob.phi.4.weight,4,False,0.014567,,
layers.0.glob.proj.weight,4,False,0.02068,,
layers.0.ffn.0.weight,4,False,0.026079,,
layers.0.ffn.2.weight,4,False,0.031237,,
layers.0.local.W_self.weight,4,False,0.056013,,
layers.0.local.W_neigh.weight,4,False,0.017945,,
layers.1.glob.phi.0.weight,4,False,0.007895,,
layers.1.glob.phi.2.weight,4,False,0.01012,,
layers.1.glob.phi.4.weight,4,False,0.001563,,
layers.1.glob.proj.weight,4,False,0.005789,,
layers.1.ffn.0.weight,4,False,0.014472,,
layers.1.ffn.2.weight,4,False,0.029371,,
layers.1.local.W_self.weight,4,False,0.018539,,
layers.1.local.W_neigh.weight,4,False,0.00719,,
