layer,shape,numel,dyn_range,pred_sqnr8_db,pred_sqnr4_db,sqnr8pt_db,sqnr8pc_db,sqnr4pt_db,sqnr4pc_db
encoder.pe.phi.0.weight,64x1,64,2.03,46.7,21.5,47.4,inf,21.7,156.7
encoder.pe.phi.2.weight,64x64,4096,3.66,41.6,16.4,41.5,44.8,16.4,19.5
encoder.pe.phi.4.weight,8x64,512,3.49,42.0,16.8,42.1,44.2,17.0,19.4
encoder.pe.rho.0.weight,64x8,512,3.41,42.2,17.0,42.1,47.8,17.1,22.5
encoder.pe.rho.2.weight,64x64,4096,4.01,40.8,15.6,40.8,44.3,15.7,19.1
encoder.pe.rho.4.weight,32x64,2048,3.31,42.5,17.3,42.4,44.2,17.2,18.8
encoder.in_proj.weight,64x42,2688,3.36,42.3,17.2,42.4,45.2,17.1,20.1
encoder.layers.0.glob.phi.0.weight,64x1,64,2.23,45.9,20.7,46.7,inf,20.9,155.2
encoder.layers.0.glob.phi.2.weight,64x64,4096,3.54,41.9,16.7,41.9,44.4,16.7,19.2
encoder.layers.0.glob.phi.4.weight,8x64,512,3.4,42.2,17.1,42.1,44.6,17.1,19.3
encoder.layers.0.glob.proj.weight,64x512,32768,3.85,41.2,16.0,41.2,42.7,16.0,17.6
encoder.layers.0.ffn.0.weight,256x64,16384,4.48,39.9,14.7,39.9,44.4,14.6,19.1
encoder.layers.0.ffn.2.weight,64x256,16384,4.08,40.6,15.5,40.7,43.2,15.5,18.0
encoder.layers.0.local.W_self.weight,64x64,4096,3.74,41.4,16.2,41.4,44.7,16.2,19.4
encoder.layers.0.local.W_neigh.weight,64x64,4096,3.85,41.2,16.0,41.1,44.5,16.0,19.4
encoder.layers.1.glob.phi.0.weight,64x1,64,2.54,44.8,19.6,43.7,176.8,19.4,157.5
encoder.layers.1.glob.phi.2.weight,64x64,4096,3.71,41.5,16.3,41.5,44.3,16.3,19.2
encoder.layers.1.glob.phi.4.weight,8x64,512,2.76,44.1,18.9,44.0,45.3,18.9,19.8
encoder.layers.1.glob.proj.weight,64x512,32768,4.24,40.3,15.1,40.3,42.9,15.1,17.7
encoder.layers.1.ffn.0.weight,256x64,16384,4.01,40.8,15.6,40.8,44.5,15.6,19.3
encoder.layers.1.ffn.2.weight,64x256,16384,3.92,41.0,15.8,41.0,43.5,15.8,18.3
encoder.layers.1.local.W_self.weight,64x64,4096,3.76,41.4,16.2,41.5,44.5,16.2,19.4
encoder.layers.1.local.W_neigh.weight,64x64,4096,4.47,39.9,14.7,40.0,44.5,14.7,19.3
actor_vertex.0.weight,32x64,2048,3.68,41.5,16.4,41.7,44.6,16.4,19.5
actor_vertex.2.weight,1x32,32,1.39,50.0,24.9,50.7,50.7,25.4,25.4
block_embedding.weight,4x32,128,2.77,44.0,18.8,44.0,44.6,18.9,19.8
actor_block.0.weight,32x96,3072,3.42,42.2,17.0,42.2,44.3,16.9,19.1
actor_block.2.weight,1x32,32,2.33,45.5,20.4,46.0,46.0,19.8,19.8
critic.0.weight,32x64,2048,3.37,42.3,17.1,42.1,44.9,17.0,19.7
critic.2.weight,1x32,32,2.62,44.5,19.3,44.1,44.1,20.3,20.3
